frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp,expected_game_time,expected_period,expected_play_clock
126,data/frames/game_6/frame_000126.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
127,data/frames/game_6/frame_000127.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
128,data/frames/game_6/frame_000128.jpg,,2ND,13,FALSE,TRUE,TRUE,,15,,0.83,"anomaly_correction,forward_countdown",45:30.8,,2ND,13
129,data/frames/game_6/frame_000129.jpg,,2ND,12,FALSE,FALSE,FALSE,,2ND,12,0,,45:30.8,,2ND,12
130,data/frames/game_6/frame_000130.jpg,,2ND,12,FALSE,FALSE,FALSE,,2ND,12,0,,45:30.8,,2ND,12
131,data/frames/game_6/frame_000131.jpg,,2ND,11,FALSE,FALSE,FALSE,,2ND,11,0,,45:30.8,,2ND,11
132,data/frames/game_6/frame_000132.jpg,,2ND,11,FALSE,FALSE,FALSE,,2ND,11,0,,45:30.8,,2ND,11
133,data/frames/game_6/frame_000133.jpg,,2ND,10,FALSE,FALSE,FALSE,,2ND,10,0,,45:30.8,,2ND,10
134,data/frames/game_6/frame_000134.jpg,,2ND,10,FALSE,FALSE,FALSE,,2ND,10,0,,45:30.8,,2ND,10
135,data/frames/game_6/frame_000135.jpg,,2ND,9,FALSE,FALSE,FALSE,,2ND,9,0,,45:30.8,,2ND,9
136,data/frames/game_6/frame_000136.jpg,,2ND,9,FALSE,FALSE,FALSE,,2ND,9,0,,45:30.8,,2ND,9
137,data/frames/game_6/frame_000137.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
138,data/frames/game_6/frame_000138.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
139,data/frames/game_6/frame_000139.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
140,data/frames/game_6/frame_000140.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
141,data/frames/game_6/frame_000141.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
142,data/frames/game_6/frame_000142.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
143,data/frames/game_6/frame_000143.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
144,data/frames/game_6/frame_000144.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
145,data/frames/game_6/frame_000145.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
146,data/frames/game_6/frame_000146.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
147,data/frames/game_6/frame_000147.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
148,data/frames/game_6/frame_000148.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
149,data/frames/game_6/frame_000149.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
150,data/frames/game_6/frame_000150.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
151,data/frames/game_6/frame_000151.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
152,data/frames/game_6/frame_000152.jpg,,2ND,40,FALSE,FALSE,FALSE,,2ND,40,0,,45:30.8,,2ND,40
153,data/frames/game_6/frame_000153.jpg,,2ND,39,FALSE,FALSE,FALSE,,2ND,39,0,,45:30.8,,2ND,39
154,data/frames/game_6/frame_000154.jpg,,2ND,39,FALSE,FALSE,FALSE,,2ND,39,0,,45:30.8,,2ND,39
155,data/frames/game_6/frame_000155.jpg,,2ND,38,FALSE,FALSE,FALSE,,2ND,38,0,,45:30.8,,2ND,38
156,data/frames/game_6/frame_000156.jpg,,2ND,39,FALSE,FALSE,FALSE,,2ND,39,0,,45:30.8,,2ND,39
157,data/frames/game_6/frame_000157.jpg,14:55,2ND,37,FALSE,FALSE,FALSE,14:55,2ND,37,0,,45:30.8,14:55,2ND,37
158,data/frames/game_6/frame_000158.jpg,14:55,2ND,37,FALSE,FALSE,FALSE,14:55,2ND,37,0,,45:30.8,14:55,2ND,37
159,data/frames/game_6/frame_000159.jpg,14:55,2ND,36,FALSE,FALSE,FALSE,14:55,2ND,36,0,,45:30.8,14:55,2ND,36
160,data/frames/game_6/frame_000160.jpg,14:55,2ND,36,FALSE,FALSE,FALSE,14:55,2ND,36,0,,45:30.8,14:55,2ND,36
161,data/frames/game_6/frame_000161.jpg,14:55,2ND,35,FALSE,FALSE,FALSE,14:55,2ND,35,0,,45:30.8,14:55,2ND,35
162,data/frames/game_6/frame_000162.jpg,14:55,2ND,35,FALSE,FALSE,FALSE,14:55,2ND,35,0,,45:30.8,14:55,2ND,35
163,data/frames/game_6/frame_000163.jpg,14:55,2ND,34,FALSE,FALSE,FALSE,14:55,2ND,34,0,,45:30.8,14:55,2ND,34
164,data/frames/game_6/frame_000164.jpg,14:55,2ND,34,FALSE,FALSE,FALSE,14:55,2ND,34,0,,45:30.8,14:55,2ND,34
165,data/frames/game_6/frame_000165.jpg,14:55,2ND,33,FALSE,FALSE,FALSE,14:55,2ND,33,0,,45:30.8,14:55,2ND,33
166,data/frames/game_6/frame_000166.jpg,14:55,2ND,33,FALSE,FALSE,FALSE,14:55,2ND,33,0,,45:30.8,14:55,2ND,33
167,data/frames/game_6/frame_000167.jpg,14:55,2ND,32,FALSE,FALSE,FALSE,14:55,2ND,32,0,,45:30.8,14:55,2ND,32
168,data/frames/game_6/frame_000168.jpg,14:55,2ND,32,FALSE,FALSE,FALSE,14:55,2ND,32,0,,45:30.8,14:55,2ND,32
169,data/frames/game_6/frame_000169.jpg,14:55,2ND,31,FALSE,FALSE,FALSE,14:55,2ND,31,0,,45:30.8,14:55,2ND,31
170,data/frames/game_6/frame_000170.jpg,14:55,2ND,31,FALSE,FALSE,FALSE,14:55,2ND,31,0,,45:30.8,14:55,2ND,31
171,data/frames/game_6/frame_000171.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
172,data/frames/game_6/frame_000172.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
173,data/frames/game_6/frame_000173.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
174,data/frames/game_6/frame_000174.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
175,data/frames/game_6/frame_000175.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
176,data/frames/game_6/frame_000176.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
177,data/frames/game_6/frame_000177.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
178,data/frames/game_6/frame_000178.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
179,data/frames/game_6/frame_000179.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
180,data/frames/game_6/frame_000180.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
181,data/frames/game_6/frame_000181.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
182,data/frames/game_6/frame_000182.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
183,data/frames/game_6/frame_000183.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
184,data/frames/game_6/frame_000184.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
185,data/frames/game_6/frame_000185.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
186,data/frames/game_6/frame_000186.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
187,data/frames/game_6/frame_000187.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
188,data/frames/game_6/frame_000188.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
189,data/frames/game_6/frame_000189.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
190,data/frames/game_6/frame_000190.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
191,data/frames/game_6/frame_000191.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
192,data/frames/game_6/frame_000192.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
193,data/frames/game_6/frame_000193.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
194,data/frames/game_6/frame_000194.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
195,data/frames/game_6/frame_000195.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
196,data/frames/game_6/frame_000196.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
197,data/frames/game_6/frame_000197.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
198,data/frames/game_6/frame_000198.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
199,data/frames/game_6/frame_000199.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
200,data/frames/game_6/frame_000200.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
